CVE ID,CWE NAME,CWE ID,PRODUCT,Publish Date,Vulnerability Type(s)
CVE-2009-0410,CWE-119 - CWE definition,119,Groupwise,2009-02-03,Exec Code Overflow
CVE-2009-0274,CWE-200 - CWE definition,200,Groupwise,2009-02-03,+Info
CVE-2009-0273,CWE-79 - CWE definition,79,Groupwise,2009-02-02,XSS
CVE-2009-0272,CWE-352 - CWE definition,352,Groupwise,2009-02-02,CSRF
CVE-2008-3501,CWE-79 - CWE definition,79,Groupwise,2008-08-06,XSS
CVE-2016-9169,CWE-79 - CWE definition,79,Groupwise,2017-03-23,XSS
CVE-2016-5762,CWE-190 - CWE definition,190,Groupwise,2017-04-20,Exec Code Overflow
CVE-2016-5761,CWE-79 - CWE definition,79,Groupwise,2017-04-20,XSS
CVE-2016-5760,CWE-79 - CWE definition,79,Groupwise,2017-04-20,XSS
CVE-2014-0611,CWE-79 - CWE definition,79,Groupwise,2015-07-22,XSS
CVE-2014-0610,,,Groupwise,2014-09-04,DoS Exec Code
CVE-2014-0600,CWE-200 - CWE definition,200,Groupwise,2014-08-29,+Info
CVE-2013-1087,CWE-79 - CWE definition,79,Groupwise,2013-07-15,XSS
CVE-2013-1086,CWE-79 - CWE definition,79,Groupwise,2013-04-19,XSS
CVE-2013-0804,CWE-78 - CWE definition,78,Groupwise,2013-02-23,DoS Exec Code
CVE-2012-4912,CWE-79 - CWE definition,79,Groupwise,2012-09-28,XSS
CVE-2012-0439,CWE-94 - CWE definition,94,Groupwise,2013-02-23,Exec Code
CVE-2012-0419,CWE-22 - CWE definition,22,Groupwise,2012-09-28,Dir. Trav.
CVE-2012-0418,,,Groupwise,2012-09-28,Exec Code
CVE-2012-0417,CWE-189 - CWE definition,189,Groupwise,2012-09-28,Exec Code Overflow
CVE-2012-0410,CWE-22 - CWE definition,22,Groupwise,2012-07-05,Dir. Trav.
CVE-2012-0272,CWE-79 - CWE definition,79,Groupwise,2012-09-19,XSS
CVE-2012-0271,CWE-189 - CWE definition,189,Groupwise,2012-09-19,Exec Code Overflow
CVE-2011-4189,CWE-94 - CWE definition,94,Groupwise,2012-03-02,DoS Exec Code Mem. Corr.
CVE-2011-3827,CWE-119 - CWE definition,119,Groupwise,2012-09-19,DoS Overflow
CVE-2011-2663,CWE-119 - CWE definition,119,Groupwise,2011-10-07,Exec Code Overflow
CVE-2011-2662,CWE-189 - CWE definition,189,Groupwise,2011-10-07,Exec Code
CVE-2011-2661,CWE-79 - CWE definition,79,Groupwise,2011-10-07,XSS
CVE-2011-2219,,,Groupwise,2011-10-07,DoS
CVE-2011-2218,,,Groupwise,2011-10-07,DoS
CVE-2011-0334,CWE-119 - CWE definition,119,Groupwise,2011-10-07,Exec Code Overflow
CVE-2011-0333,CWE-119 - CWE definition,119,Groupwise,2011-10-07,Exec Code Overflow
CVE-2010-4717,CWE-119 - CWE definition,119,Groupwise,2011-01-31,Exec Code Overflow
CVE-2010-4716,CWE-79 - CWE definition,79,Groupwise,2011-01-31,XSS
CVE-2010-4715,CWE-22 - CWE definition,22,Groupwise,2011-01-31,Dir. Trav.
CVE-2010-4714,CWE-119 - CWE definition,119,Groupwise,2011-01-31,Exec Code Overflow
CVE-2010-4713,CWE-189 - CWE definition,189,Groupwise,2011-01-31,Exec Code
CVE-2010-4712,CWE-119 - CWE definition,119,Groupwise,2011-01-31,Exec Code Overflow
CVE-2010-4711,CWE-399 - CWE definition,399,Groupwise,2011-01-31,Exec Code
CVE-2010-4326,CWE-119 - CWE definition,119,Groupwise,2011-01-28,Exec Code Overflow
CVE-2010-4325,CWE-119 - CWE definition,119,Groupwise,2011-01-28,Exec Code Overflow
CVE-2010-2779,CWE-79 - CWE definition,79,Groupwise,2011-01-28,XSS
CVE-2010-2778,CWE-79 - CWE definition,79,Groupwise,2011-01-28,XSS
CVE-2010-2777,CWE-119 - CWE definition,119,Groupwise,2011-01-28,Exec Code Overflow
CVE-2009-4662,CWE-79 - CWE definition,79,Groupwise,2010-03-03,XSS
CVE-2009-3863,CWE-119 - CWE definition,119,Groupwise,2009-11-04,DoS Overflow
CVE-2009-1762,CWE-79 - CWE definition,79,Groupwise,2009-05-22,XSS
CVE-2009-1636,CWE-119 - CWE definition,119,Groupwise,2009-05-26,Exec Code Overflow
CVE-2009-1635,CWE-79 - CWE definition,79,Groupwise,2009-05-22,XSS
CVE-2009-1634,,,Groupwise,2009-05-26,
CVE-2009-0410,CWE-119 - CWE definition,119,Groupwise,2009-02-03,Exec Code Overflow
CVE-2009-0274,CWE-200 - CWE definition,200,Groupwise,2009-02-03,+Info
CVE-2009-0273,CWE-79 - CWE definition,79,Groupwise,2009-02-02,XSS
CVE-2009-0272,CWE-352 - CWE definition,352,Groupwise,2009-02-02,CSRF
CVE-2008-3501,CWE-79 - CWE definition,79,Groupwise,2008-08-06,XSS
