CVE ID,CWE NAME,CWE ID,PRODUCT,Publish Date,Vulnerability Type(s)
CVE-2015-4000,CWE-310 - CWE definition,310,Seamonkey,2015-05-20,
CVE-2015-0818,CWE-264 - CWE definition,264,Seamonkey,2015-03-23,Exec Code Bypass
CVE-2015-0817,CWE-17 - CWE definition,17,Seamonkey,2015-03-23,Exec Code
CVE-2014-8642,CWE-310 - CWE definition,310,Seamonkey,2015-01-14,+Info
CVE-2014-8641,,,Seamonkey,2015-01-14,Exec Code
CVE-2014-8640,CWE-362 - CWE definition,362,Seamonkey,2015-01-14,DoS
CVE-2014-8639,,,Seamonkey,2015-01-14,
CVE-2014-8638,CWE-352 - CWE definition,352,Seamonkey,2015-01-14,Bypass CSRF
CVE-2014-8637,CWE-200 - CWE definition,200,Seamonkey,2015-01-14,+Info
CVE-2014-8636,CWE-94 - CWE definition,94,Seamonkey,2015-01-14,Exec Code
CVE-2014-8635,,,Seamonkey,2015-01-14,DoS Exec Code Mem. Corr.
CVE-2014-8634,,,Seamonkey,2015-01-14,DoS Exec Code Mem. Corr.
CVE-2014-8632,CWE-284 - CWE definition,284,Seamonkey,2014-12-11,Bypass
CVE-2014-8631,CWE-284 - CWE definition,284,Seamonkey,2014-12-11,Bypass
CVE-2014-2018,CWE-79 - CWE definition,79,Seamonkey,2014-02-17,XSS
CVE-2014-1594,CWE-20 - CWE definition,20,Seamonkey,2014-12-11,Exec Code
CVE-2014-1593,CWE-119 - CWE definition,119,Seamonkey,2014-12-11,Exec Code Overflow
CVE-2014-1592,,,Seamonkey,2014-12-11,Exec Code
CVE-2014-1591,CWE-199 - CWE definition,199,Seamonkey,2014-12-11,+Info
CVE-2014-1590,CWE-20 - CWE definition,20,Seamonkey,2014-12-11,DoS
CVE-2014-1589,CWE-284 - CWE definition,284,Seamonkey,2014-12-11,Bypass
CVE-2014-1588,,,Seamonkey,2014-12-11,DoS Exec Code Mem. Corr.
CVE-2014-1587,CWE-20 - CWE definition,20,Seamonkey,2014-12-11,DoS Exec Code Mem. Corr.
CVE-2014-1568,CWE-310 - CWE definition,310,Seamonkey,2014-09-25,
CVE-2014-1532,CWE-399 - CWE definition,399,Seamonkey,2014-04-30,DoS Exec Code Mem. Corr.
CVE-2014-1531,CWE-399 - CWE definition,399,Seamonkey,2014-04-30,DoS Exec Code Mem. Corr.
CVE-2014-1530,CWE-79 - CWE definition,79,Seamonkey,2014-04-30,XSS
CVE-2014-1529,CWE-264 - CWE definition,264,Seamonkey,2014-04-30,Exec Code Bypass
CVE-2014-1528,CWE-119 - CWE definition,119,Seamonkey,2014-04-30,DoS Exec Code Overflow
CVE-2014-1526,CWE-264 - CWE definition,264,Seamonkey,2014-04-30,Bypass
CVE-2014-1525,CWE-399 - CWE definition,399,Seamonkey,2014-04-30,DoS Exec Code Mem. Corr.
CVE-2014-1524,CWE-119 - CWE definition,119,Seamonkey,2014-04-30,DoS Exec Code Overflow
CVE-2014-1523,CWE-119 - CWE definition,119,Seamonkey,2014-04-30,DoS Overflow
CVE-2014-1522,CWE-119 - CWE definition,119,Seamonkey,2014-04-30,DoS Exec Code Overflow Mem. Corr.
CVE-2014-1519,,,Seamonkey,2014-04-30,DoS Exec Code Mem. Corr.
CVE-2014-1518,,,Seamonkey,2014-04-30,DoS Exec Code Mem. Corr.
CVE-2014-1514,CWE-119 - CWE definition,119,Seamonkey,2014-03-19,DoS Exec Code Overflow
CVE-2014-1513,CWE-119 - CWE definition,119,Seamonkey,2014-03-19,DoS Exec Code Overflow
CVE-2014-1512,CWE-399 - CWE definition,399,Seamonkey,2014-03-19,Exec Code
CVE-2014-1511,CWE-264 - CWE definition,264,Seamonkey,2014-03-19,Bypass
CVE-2014-1510,CWE-94 - CWE definition,94,Seamonkey,2014-03-19,Exec Code
CVE-2014-1509,CWE-119 - CWE definition,119,Seamonkey,2014-03-19,Exec Code Overflow
CVE-2014-1508,CWE-119 - CWE definition,119,Seamonkey,2014-03-19,DoS Overflow Bypass +Info
CVE-2014-1505,CWE-264 - CWE definition,264,Seamonkey,2014-03-19,Bypass +Info
CVE-2014-1504,CWE-264 - CWE definition,264,Seamonkey,2014-03-19,XSS
CVE-2014-1502,CWE-264 - CWE definition,264,Seamonkey,2014-03-19,Bypass
CVE-2014-1500,,,Seamonkey,2014-03-19,DoS
CVE-2014-1499,CWE-264 - CWE definition,264,Seamonkey,2014-03-19,
CVE-2014-1498,CWE-20 - CWE definition,20,Seamonkey,2014-03-19,DoS
CVE-2014-1497,CWE-119 - CWE definition,119,Seamonkey,2014-03-19,DoS Overflow +Info
CVE-2015-4000,CWE-310 - CWE definition,310,Seamonkey,2015-05-20,
CVE-2015-0818,CWE-264 - CWE definition,264,Seamonkey,2015-03-23,Exec Code Bypass
CVE-2015-0817,CWE-17 - CWE definition,17,Seamonkey,2015-03-23,Exec Code
CVE-2014-8642,CWE-310 - CWE definition,310,Seamonkey,2015-01-14,+Info
CVE-2014-8641,,,Seamonkey,2015-01-14,Exec Code
CVE-2014-8640,CWE-362 - CWE definition,362,Seamonkey,2015-01-14,DoS
CVE-2014-8639,,,Seamonkey,2015-01-14,
CVE-2014-8638,CWE-352 - CWE definition,352,Seamonkey,2015-01-14,Bypass CSRF
CVE-2014-8637,CWE-200 - CWE definition,200,Seamonkey,2015-01-14,+Info
CVE-2014-8636,CWE-94 - CWE definition,94,Seamonkey,2015-01-14,Exec Code
CVE-2014-8635,,,Seamonkey,2015-01-14,DoS Exec Code Mem. Corr.
CVE-2014-8634,,,Seamonkey,2015-01-14,DoS Exec Code Mem. Corr.
CVE-2014-8632,CWE-284 - CWE definition,284,Seamonkey,2014-12-11,Bypass
CVE-2014-8631,CWE-284 - CWE definition,284,Seamonkey,2014-12-11,Bypass
CVE-2014-2018,CWE-79 - CWE definition,79,Seamonkey,2014-02-17,XSS
CVE-2014-1594,CWE-20 - CWE definition,20,Seamonkey,2014-12-11,Exec Code
CVE-2014-1593,CWE-119 - CWE definition,119,Seamonkey,2014-12-11,Exec Code Overflow
CVE-2014-1592,,,Seamonkey,2014-12-11,Exec Code
CVE-2014-1591,CWE-199 - CWE definition,199,Seamonkey,2014-12-11,+Info
CVE-2014-1590,CWE-20 - CWE definition,20,Seamonkey,2014-12-11,DoS
CVE-2014-1589,CWE-284 - CWE definition,284,Seamonkey,2014-12-11,Bypass
CVE-2014-1588,,,Seamonkey,2014-12-11,DoS Exec Code Mem. Corr.
CVE-2014-1587,CWE-20 - CWE definition,20,Seamonkey,2014-12-11,DoS Exec Code Mem. Corr.
CVE-2014-1568,CWE-310 - CWE definition,310,Seamonkey,2014-09-25,
CVE-2014-1532,CWE-399 - CWE definition,399,Seamonkey,2014-04-30,DoS Exec Code Mem. Corr.
CVE-2014-1531,CWE-399 - CWE definition,399,Seamonkey,2014-04-30,DoS Exec Code Mem. Corr.
CVE-2014-1530,CWE-79 - CWE definition,79,Seamonkey,2014-04-30,XSS
CVE-2014-1529,CWE-264 - CWE definition,264,Seamonkey,2014-04-30,Exec Code Bypass
CVE-2014-1528,CWE-119 - CWE definition,119,Seamonkey,2014-04-30,DoS Exec Code Overflow
CVE-2014-1526,CWE-264 - CWE definition,264,Seamonkey,2014-04-30,Bypass
CVE-2014-1525,CWE-399 - CWE definition,399,Seamonkey,2014-04-30,DoS Exec Code Mem. Corr.
CVE-2014-1524,CWE-119 - CWE definition,119,Seamonkey,2014-04-30,DoS Exec Code Overflow
CVE-2014-1523,CWE-119 - CWE definition,119,Seamonkey,2014-04-30,DoS Overflow
CVE-2014-1522,CWE-119 - CWE definition,119,Seamonkey,2014-04-30,DoS Exec Code Overflow Mem. Corr.
CVE-2014-1519,,,Seamonkey,2014-04-30,DoS Exec Code Mem. Corr.
CVE-2014-1518,,,Seamonkey,2014-04-30,DoS Exec Code Mem. Corr.
CVE-2014-1514,CWE-119 - CWE definition,119,Seamonkey,2014-03-19,DoS Exec Code Overflow
CVE-2014-1513,CWE-119 - CWE definition,119,Seamonkey,2014-03-19,DoS Exec Code Overflow
CVE-2014-1512,CWE-399 - CWE definition,399,Seamonkey,2014-03-19,Exec Code
CVE-2014-1511,CWE-264 - CWE definition,264,Seamonkey,2014-03-19,Bypass
CVE-2014-1510,CWE-94 - CWE definition,94,Seamonkey,2014-03-19,Exec Code
CVE-2014-1509,CWE-119 - CWE definition,119,Seamonkey,2014-03-19,Exec Code Overflow
CVE-2014-1508,CWE-119 - CWE definition,119,Seamonkey,2014-03-19,DoS Overflow Bypass +Info
CVE-2014-1505,CWE-264 - CWE definition,264,Seamonkey,2014-03-19,Bypass +Info
CVE-2014-1504,CWE-264 - CWE definition,264,Seamonkey,2014-03-19,XSS
CVE-2014-1502,CWE-264 - CWE definition,264,Seamonkey,2014-03-19,Bypass
CVE-2014-1500,,,Seamonkey,2014-03-19,DoS
CVE-2014-1499,CWE-264 - CWE definition,264,Seamonkey,2014-03-19,
CVE-2014-1498,CWE-20 - CWE definition,20,Seamonkey,2014-03-19,DoS
CVE-2014-1497,CWE-119 - CWE definition,119,Seamonkey,2014-03-19,DoS Overflow +Info
CVE-2015-4000,CWE-310 - CWE definition,310,Seamonkey,2015-05-20,
CVE-2015-0818,CWE-264 - CWE definition,264,Seamonkey,2015-03-23,Exec Code Bypass
CVE-2015-0817,CWE-17 - CWE definition,17,Seamonkey,2015-03-23,Exec Code
CVE-2014-8642,CWE-310 - CWE definition,310,Seamonkey,2015-01-14,+Info
CVE-2014-8641,,,Seamonkey,2015-01-14,Exec Code
CVE-2014-8640,CWE-362 - CWE definition,362,Seamonkey,2015-01-14,DoS
CVE-2014-8639,,,Seamonkey,2015-01-14,
CVE-2014-8638,CWE-352 - CWE definition,352,Seamonkey,2015-01-14,Bypass CSRF
CVE-2014-8637,CWE-200 - CWE definition,200,Seamonkey,2015-01-14,+Info
CVE-2014-8636,CWE-94 - CWE definition,94,Seamonkey,2015-01-14,Exec Code
CVE-2014-8635,,,Seamonkey,2015-01-14,DoS Exec Code Mem. Corr.
CVE-2014-8634,,,Seamonkey,2015-01-14,DoS Exec Code Mem. Corr.
CVE-2014-8632,CWE-284 - CWE definition,284,Seamonkey,2014-12-11,Bypass
CVE-2014-8631,CWE-284 - CWE definition,284,Seamonkey,2014-12-11,Bypass
CVE-2014-2018,CWE-79 - CWE definition,79,Seamonkey,2014-02-17,XSS
CVE-2014-1594,CWE-20 - CWE definition,20,Seamonkey,2014-12-11,Exec Code
CVE-2014-1593,CWE-119 - CWE definition,119,Seamonkey,2014-12-11,Exec Code Overflow
CVE-2014-1592,,,Seamonkey,2014-12-11,Exec Code
CVE-2014-1591,CWE-199 - CWE definition,199,Seamonkey,2014-12-11,+Info
CVE-2014-1590,CWE-20 - CWE definition,20,Seamonkey,2014-12-11,DoS
CVE-2014-1589,CWE-284 - CWE definition,284,Seamonkey,2014-12-11,Bypass
CVE-2014-1588,,,Seamonkey,2014-12-11,DoS Exec Code Mem. Corr.
CVE-2014-1587,CWE-20 - CWE definition,20,Seamonkey,2014-12-11,DoS Exec Code Mem. Corr.
CVE-2014-1568,CWE-310 - CWE definition,310,Seamonkey,2014-09-25,
CVE-2014-1532,CWE-399 - CWE definition,399,Seamonkey,2014-04-30,DoS Exec Code Mem. Corr.
CVE-2014-1531,CWE-399 - CWE definition,399,Seamonkey,2014-04-30,DoS Exec Code Mem. Corr.
CVE-2014-1530,CWE-79 - CWE definition,79,Seamonkey,2014-04-30,XSS
CVE-2014-1529,CWE-264 - CWE definition,264,Seamonkey,2014-04-30,Exec Code Bypass
CVE-2014-1528,CWE-119 - CWE definition,119,Seamonkey,2014-04-30,DoS Exec Code Overflow
CVE-2014-1526,CWE-264 - CWE definition,264,Seamonkey,2014-04-30,Bypass
CVE-2014-1525,CWE-399 - CWE definition,399,Seamonkey,2014-04-30,DoS Exec Code Mem. Corr.
CVE-2014-1524,CWE-119 - CWE definition,119,Seamonkey,2014-04-30,DoS Exec Code Overflow
CVE-2014-1523,CWE-119 - CWE definition,119,Seamonkey,2014-04-30,DoS Overflow
CVE-2014-1522,CWE-119 - CWE definition,119,Seamonkey,2014-04-30,DoS Exec Code Overflow Mem. Corr.
CVE-2014-1519,,,Seamonkey,2014-04-30,DoS Exec Code Mem. Corr.
CVE-2014-1518,,,Seamonkey,2014-04-30,DoS Exec Code Mem. Corr.
CVE-2014-1514,CWE-119 - CWE definition,119,Seamonkey,2014-03-19,DoS Exec Code Overflow
CVE-2014-1513,CWE-119 - CWE definition,119,Seamonkey,2014-03-19,DoS Exec Code Overflow
CVE-2014-1512,CWE-399 - CWE definition,399,Seamonkey,2014-03-19,Exec Code
CVE-2014-1511,CWE-264 - CWE definition,264,Seamonkey,2014-03-19,Bypass
CVE-2014-1510,CWE-94 - CWE definition,94,Seamonkey,2014-03-19,Exec Code
CVE-2014-1509,CWE-119 - CWE definition,119,Seamonkey,2014-03-19,Exec Code Overflow
CVE-2014-1508,CWE-119 - CWE definition,119,Seamonkey,2014-03-19,DoS Overflow Bypass +Info
CVE-2014-1505,CWE-264 - CWE definition,264,Seamonkey,2014-03-19,Bypass +Info
CVE-2014-1504,CWE-264 - CWE definition,264,Seamonkey,2014-03-19,XSS
CVE-2014-1502,CWE-264 - CWE definition,264,Seamonkey,2014-03-19,Bypass
CVE-2014-1500,,,Seamonkey,2014-03-19,DoS
CVE-2014-1499,CWE-264 - CWE definition,264,Seamonkey,2014-03-19,
CVE-2014-1498,CWE-20 - CWE definition,20,Seamonkey,2014-03-19,DoS
CVE-2014-1497,CWE-119 - CWE definition,119,Seamonkey,2014-03-19,DoS Overflow +Info
CVE-2015-4000,CWE-310 - CWE definition,310,Seamonkey,2015-05-20,
CVE-2015-0818,CWE-264 - CWE definition,264,Seamonkey,2015-03-23,Exec Code Bypass
CVE-2015-0817,CWE-17 - CWE definition,17,Seamonkey,2015-03-23,Exec Code
CVE-2014-8642,CWE-310 - CWE definition,310,Seamonkey,2015-01-14,+Info
CVE-2014-8641,,,Seamonkey,2015-01-14,Exec Code
CVE-2014-8640,CWE-362 - CWE definition,362,Seamonkey,2015-01-14,DoS
CVE-2014-8639,,,Seamonkey,2015-01-14,
CVE-2014-8638,CWE-352 - CWE definition,352,Seamonkey,2015-01-14,Bypass CSRF
CVE-2014-8637,CWE-200 - CWE definition,200,Seamonkey,2015-01-14,+Info
CVE-2014-8636,CWE-94 - CWE definition,94,Seamonkey,2015-01-14,Exec Code
CVE-2014-8635,,,Seamonkey,2015-01-14,DoS Exec Code Mem. Corr.
CVE-2014-8634,,,Seamonkey,2015-01-14,DoS Exec Code Mem. Corr.
CVE-2014-8632,CWE-284 - CWE definition,284,Seamonkey,2014-12-11,Bypass
CVE-2014-8631,CWE-284 - CWE definition,284,Seamonkey,2014-12-11,Bypass
CVE-2014-2018,CWE-79 - CWE definition,79,Seamonkey,2014-02-17,XSS
CVE-2014-1594,CWE-20 - CWE definition,20,Seamonkey,2014-12-11,Exec Code
CVE-2014-1593,CWE-119 - CWE definition,119,Seamonkey,2014-12-11,Exec Code Overflow
CVE-2014-1592,,,Seamonkey,2014-12-11,Exec Code
CVE-2014-1591,CWE-199 - CWE definition,199,Seamonkey,2014-12-11,+Info
CVE-2014-1590,CWE-20 - CWE definition,20,Seamonkey,2014-12-11,DoS
CVE-2014-1589,CWE-284 - CWE definition,284,Seamonkey,2014-12-11,Bypass
CVE-2014-1588,,,Seamonkey,2014-12-11,DoS Exec Code Mem. Corr.
CVE-2014-1587,CWE-20 - CWE definition,20,Seamonkey,2014-12-11,DoS Exec Code Mem. Corr.
CVE-2014-1568,CWE-310 - CWE definition,310,Seamonkey,2014-09-25,
CVE-2014-1532,CWE-399 - CWE definition,399,Seamonkey,2014-04-30,DoS Exec Code Mem. Corr.
CVE-2014-1531,CWE-399 - CWE definition,399,Seamonkey,2014-04-30,DoS Exec Code Mem. Corr.
CVE-2014-1530,CWE-79 - CWE definition,79,Seamonkey,2014-04-30,XSS
CVE-2014-1529,CWE-264 - CWE definition,264,Seamonkey,2014-04-30,Exec Code Bypass
CVE-2014-1528,CWE-119 - CWE definition,119,Seamonkey,2014-04-30,DoS Exec Code Overflow
CVE-2014-1526,CWE-264 - CWE definition,264,Seamonkey,2014-04-30,Bypass
CVE-2014-1525,CWE-399 - CWE definition,399,Seamonkey,2014-04-30,DoS Exec Code Mem. Corr.
CVE-2014-1524,CWE-119 - CWE definition,119,Seamonkey,2014-04-30,DoS Exec Code Overflow
CVE-2014-1523,CWE-119 - CWE definition,119,Seamonkey,2014-04-30,DoS Overflow
CVE-2014-1522,CWE-119 - CWE definition,119,Seamonkey,2014-04-30,DoS Exec Code Overflow Mem. Corr.
CVE-2014-1519,,,Seamonkey,2014-04-30,DoS Exec Code Mem. Corr.
CVE-2014-1518,,,Seamonkey,2014-04-30,DoS Exec Code Mem. Corr.
CVE-2014-1514,CWE-119 - CWE definition,119,Seamonkey,2014-03-19,DoS Exec Code Overflow
CVE-2014-1513,CWE-119 - CWE definition,119,Seamonkey,2014-03-19,DoS Exec Code Overflow
CVE-2014-1512,CWE-399 - CWE definition,399,Seamonkey,2014-03-19,Exec Code
CVE-2014-1511,CWE-264 - CWE definition,264,Seamonkey,2014-03-19,Bypass
CVE-2014-1510,CWE-94 - CWE definition,94,Seamonkey,2014-03-19,Exec Code
CVE-2014-1509,CWE-119 - CWE definition,119,Seamonkey,2014-03-19,Exec Code Overflow
CVE-2014-1508,CWE-119 - CWE definition,119,Seamonkey,2014-03-19,DoS Overflow Bypass +Info
CVE-2014-1505,CWE-264 - CWE definition,264,Seamonkey,2014-03-19,Bypass +Info
CVE-2014-1504,CWE-264 - CWE definition,264,Seamonkey,2014-03-19,XSS
CVE-2014-1502,CWE-264 - CWE definition,264,Seamonkey,2014-03-19,Bypass
CVE-2014-1500,,,Seamonkey,2014-03-19,DoS
CVE-2014-1499,CWE-264 - CWE definition,264,Seamonkey,2014-03-19,
CVE-2014-1498,CWE-20 - CWE definition,20,Seamonkey,2014-03-19,DoS
CVE-2014-1497,CWE-119 - CWE definition,119,Seamonkey,2014-03-19,DoS Overflow +Info
CVE-2015-4000,CWE-310 - CWE definition,310,Seamonkey,2015-05-20,
CVE-2015-0818,CWE-264 - CWE definition,264,Seamonkey,2015-03-23,Exec Code Bypass
CVE-2015-0817,CWE-17 - CWE definition,17,Seamonkey,2015-03-23,Exec Code
CVE-2014-8642,CWE-310 - CWE definition,310,Seamonkey,2015-01-14,+Info
CVE-2014-8641,,,Seamonkey,2015-01-14,Exec Code
CVE-2014-8640,CWE-362 - CWE definition,362,Seamonkey,2015-01-14,DoS
CVE-2014-8639,,,Seamonkey,2015-01-14,
CVE-2014-8638,CWE-352 - CWE definition,352,Seamonkey,2015-01-14,Bypass CSRF
CVE-2014-8637,CWE-200 - CWE definition,200,Seamonkey,2015-01-14,+Info
CVE-2014-8636,CWE-94 - CWE definition,94,Seamonkey,2015-01-14,Exec Code
CVE-2014-8635,,,Seamonkey,2015-01-14,DoS Exec Code Mem. Corr.
CVE-2014-8634,,,Seamonkey,2015-01-14,DoS Exec Code Mem. Corr.
CVE-2014-8632,CWE-284 - CWE definition,284,Seamonkey,2014-12-11,Bypass
CVE-2014-8631,CWE-284 - CWE definition,284,Seamonkey,2014-12-11,Bypass
CVE-2014-2018,CWE-79 - CWE definition,79,Seamonkey,2014-02-17,XSS
CVE-2014-1594,CWE-20 - CWE definition,20,Seamonkey,2014-12-11,Exec Code
CVE-2014-1593,CWE-119 - CWE definition,119,Seamonkey,2014-12-11,Exec Code Overflow
CVE-2014-1592,,,Seamonkey,2014-12-11,Exec Code
CVE-2014-1591,CWE-199 - CWE definition,199,Seamonkey,2014-12-11,+Info
CVE-2014-1590,CWE-20 - CWE definition,20,Seamonkey,2014-12-11,DoS
CVE-2014-1589,CWE-284 - CWE definition,284,Seamonkey,2014-12-11,Bypass
CVE-2014-1588,,,Seamonkey,2014-12-11,DoS Exec Code Mem. Corr.
CVE-2014-1587,CWE-20 - CWE definition,20,Seamonkey,2014-12-11,DoS Exec Code Mem. Corr.
CVE-2014-1568,CWE-310 - CWE definition,310,Seamonkey,2014-09-25,
CVE-2014-1532,CWE-399 - CWE definition,399,Seamonkey,2014-04-30,DoS Exec Code Mem. Corr.
CVE-2014-1531,CWE-399 - CWE definition,399,Seamonkey,2014-04-30,DoS Exec Code Mem. Corr.
CVE-2014-1530,CWE-79 - CWE definition,79,Seamonkey,2014-04-30,XSS
CVE-2014-1529,CWE-264 - CWE definition,264,Seamonkey,2014-04-30,Exec Code Bypass
CVE-2014-1528,CWE-119 - CWE definition,119,Seamonkey,2014-04-30,DoS Exec Code Overflow
CVE-2014-1526,CWE-264 - CWE definition,264,Seamonkey,2014-04-30,Bypass
CVE-2014-1525,CWE-399 - CWE definition,399,Seamonkey,2014-04-30,DoS Exec Code Mem. Corr.
CVE-2014-1524,CWE-119 - CWE definition,119,Seamonkey,2014-04-30,DoS Exec Code Overflow
CVE-2014-1523,CWE-119 - CWE definition,119,Seamonkey,2014-04-30,DoS Overflow
CVE-2014-1522,CWE-119 - CWE definition,119,Seamonkey,2014-04-30,DoS Exec Code Overflow Mem. Corr.
CVE-2014-1519,,,Seamonkey,2014-04-30,DoS Exec Code Mem. Corr.
CVE-2014-1518,,,Seamonkey,2014-04-30,DoS Exec Code Mem. Corr.
CVE-2014-1514,CWE-119 - CWE definition,119,Seamonkey,2014-03-19,DoS Exec Code Overflow
CVE-2014-1513,CWE-119 - CWE definition,119,Seamonkey,2014-03-19,DoS Exec Code Overflow
CVE-2014-1512,CWE-399 - CWE definition,399,Seamonkey,2014-03-19,Exec Code
CVE-2014-1511,CWE-264 - CWE definition,264,Seamonkey,2014-03-19,Bypass
CVE-2014-1510,CWE-94 - CWE definition,94,Seamonkey,2014-03-19,Exec Code
CVE-2014-1509,CWE-119 - CWE definition,119,Seamonkey,2014-03-19,Exec Code Overflow
CVE-2014-1508,CWE-119 - CWE definition,119,Seamonkey,2014-03-19,DoS Overflow Bypass +Info
CVE-2014-1505,CWE-264 - CWE definition,264,Seamonkey,2014-03-19,Bypass +Info
CVE-2014-1504,CWE-264 - CWE definition,264,Seamonkey,2014-03-19,XSS
CVE-2014-1502,CWE-264 - CWE definition,264,Seamonkey,2014-03-19,Bypass
CVE-2014-1500,,,Seamonkey,2014-03-19,DoS
CVE-2014-1499,CWE-264 - CWE definition,264,Seamonkey,2014-03-19,
CVE-2014-1498,CWE-20 - CWE definition,20,Seamonkey,2014-03-19,DoS
CVE-2014-1497,CWE-119 - CWE definition,119,Seamonkey,2014-03-19,DoS Overflow +Info
CVE-2015-4000,CWE-310 - CWE definition,310,Seamonkey,2015-05-20,
CVE-2015-0818,CWE-264 - CWE definition,264,Seamonkey,2015-03-23,Exec Code Bypass
CVE-2015-0817,CWE-17 - CWE definition,17,Seamonkey,2015-03-23,Exec Code
CVE-2014-8642,CWE-310 - CWE definition,310,Seamonkey,2015-01-14,+Info
CVE-2014-8641,,,Seamonkey,2015-01-14,Exec Code
CVE-2014-8640,CWE-362 - CWE definition,362,Seamonkey,2015-01-14,DoS
